LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 33.0, 349.0, 128, 1.0, 317.0, 1280, 63.0, 357.0, 40, -525.0, -1.0, 128, -263.0, -1.0, 1280, 379.0, 380.0, 40,
1, 33.0, 26081.0, 65536, 1.0, 26042.0, 262144, 63.0, 26111.0, 65536, -525.0, -1.0, 1024, -13105.0, 26041.0, 262144, 26111.0, 28158.0, 65536,
2, 33.0, 28129.0, 131072, 1.0, 28082.0, 262144, 63.0, 28159.0, 131072, -525.0, -1.0, 2048, -13105.0, 28081.0, 262144, 28159.0, 32254.0, 131072,
3, 33.0, 14153.0, 65536, 25.0, 14018.0, 16384, 63.0, 14207.0, 262144, -525.0, -1.0, 1024, -1835.0, -1.0, 16384, 7167.0, 18303.0, 262175,
4, 33.0, 14161.0, 131072, 17.0, 14018.0, 32768, 63.0, 14207.0, 262144, -525.0, -1.0, 2048, -3408.0, -1.0, 32768, 7167.0, 18303.0, 262175,
5, 33.0, 14177.0, 262144, 1.0, 14018.0, 65536, 63.0, 14207.0, 262144, -525.0, -1.0, 4096, -6815.0, -1.0, 65536, 7167.0, 18303.0, 262175,
6, 33.0, 17105.0, 524288, 1.0, 15026.0, 5120, 63.0, 17111.0, 327680, -26178.0, 17093.0, 524288, -525.0, -1.0, 5120, 4347.0, 19183.0, 327711,
7, 33.0, 8525.0, 163840, 13.0, 6458.0, 2560, 63.0, 8567.0, 262144, -4194.0, -1.0, 40960, -263.0, -1.0, 2560, 4347.0, 12663.0, 262175,
8, 33.0, 17081.0, 327680, 1.0, 15026.0, 5120, 63.0, 17135.0, 524288, -8388.0, -1.0, 81920, -525.0, -1.0, 5120, 4347.0, 21231.0, 524319,
9, 33.0, 34241.0, 1048576, 1.0, 32162.0, 16384, 63.0, 34271.0, 1048576, -26178.0, 34223.0, 1048576, -1835.0, -1.0, 16384, 4347.0, 38367.0, 1048607,
