LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 379, 0, 0.32981530343007914, 31.25, 0.248015873015873,
1, 26111, 0, 7.843437631649496, 100.0, 6.015037593984995,
2, 28159, 0, 14.545971092723462, 100.0, 11.347517730496389,
3, 14207, 0, 14.415429013866405, 25.0, 12.648221343873528,
4, 14207, 0, 28.83085802773281, 50.0, 25.296442687747057,
5, 14207, 0, 57.66171605546562, 100.0, 50.59288537549411,
6, 17135, 0, 59.76072366501313, 62.5, 58.904739990796116,
7, 8567, 0, 59.7642115092798, 62.5, 58.90473999079613,
8, 17135, 0, 59.76072366501313, 62.5, 58.90473999079613,
9, 34271, 0, 95.6143678328616, 100.0, 94.24758398527383,
