config,test_acc,implementation,adc_bits,latency_us,throughput_inf_per_s,energy_per_inf_nJ,power_mW,area_mm2,cost_usd_per_chip,sram_KB
Corner_1_PureS5_hg2,0.6155,digital,8,474.11,2109,637431.014,1366.816,4.4692,10.94,5304.1
Corner_1_PureS5_hg2,0.6155,mixed_signal,8,275.46,3630,376813.451,1396.719,5.7525,16.41,4230.9
Corner_3p_Mambino_hg2,0.614,digital,8,539.65,1853,725721.114,1369.187,4.8770,10.94,5816.3
Corner_3p_Mambino_hg2,0.614,mixed_signal,8,177.15,5645,247579.736,1434.119,7.3148,16.41,4182.9
Config_3_PureS5_gelu,0.591,digital,8,209.92,4764,285738.624,1383.001,4.3662,10.94,5174.7
Config_3_PureS5_gelu,0.591,mixed_signal,8,30.72,32552,24988.965,841.585,5.6284,16.41,4101.9
Config_4_Mambino_gelu,0.6055,digital,8,373.76,2676,504891.008,1374.902,4.8127,10.94,5735.5
Config_4_Mambino_gelu,0.6055,mixed_signal,8,30.72,32552,26666.686,904.323,7.2534,16.41,4101.9
Config_5_PureS5_P16,0.583,digital,8,406.53,2460,549560.346,1377.936,5.2202,10.94,6247.3
Config_5_PureS5_P16,0.583,mixed_signal,8,30.72,32552,27002.231,915.203,7.2449,16.41,4101.9
