LayerID, Avg IFMAP SRAM BW, Avg FILTER SRAM BW, Avg OFMAP SRAM BW, Avg IFMAP DRAM BW, Avg FILTER DRAM BW, Avg OFMAP DRAM BW,
0, 0.34829931972789113, 1.7414965986394557, 0.21768707482993196, 0.2438095238095238, 4.866920152091255, 8.0,
1, 2.133350694585731, 2.133350694585731, 2.133350694585731, 1.9504761904761905, 1.9281106804257166, 3.3691603799046383,
2, 3.368442694044858, 1.684221347022429, 3.368442694044858, 3.900952380952381, 1.5537313521298728, 3.938957965515946,
3, 6.826844449074195, 0.4266777780671372, 6.826844449074195, 1.9504761904761905, 8.928610354223434, 7.370210014338328,
4, 6.826755556712978, 0.42667222229456114, 6.826755556712978, 3.900952380952381, 9.615023474178404, 7.088036880314727,
5, 6.826711111400465, 0.4266694444625291, 6.826711111400465, 7.801904761904762, 9.616434336023477, 6.954897890149832,
6, 7.91502364144711, 0.030918061099402774, 7.91502364144711, 6.835032461606654, 9.752380952380953, 7.924157693958612,
7, 6.595879588160106, 0.025765154641250416, 7.915055505792128, 9.766332856461611, 9.73384030418251, 7.930290715848702,
8, 7.91502364144711, 0.030918061099402774, 7.91502364144711, 9.766332856461611, 9.752380952380953, 7.924157693958612,
9, 7.91499078161002, 0.03091793274066414, 7.91499078161002, 7.543373049772942, 8.928610354223434, 7.91784289702848,
