LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 735, 0, 2.7210884353741496, 62.5, 2.0833333333333317,
1, 122879, 0, 26.666883682321632, 100.0, 21.621621621622687,
2, 155647, 0, 42.10553367556072, 100.0, 35.55555555555912,
3, 38399, 0, 85.33555561342743, 100.0, 81.52866242038216,
4, 76799, 0, 85.33444445891223, 100.0, 81.52866242038324,
5, 153599, 0, 85.33388889250581, 100.0, 81.52866242038411,
6, 165599, 0, 98.93779551808888, 100.0, 98.60375541646619,
7, 99359, 0, 82.44849485200133, 83.33333333333334, 82.1697961803884,
8, 165599, 0, 98.93779551808888, 100.0, 98.60375541646619,
9, 529919, 0, 98.93738477012525, 100.0, 98.60375541646587,
