LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 65.0, 319.0, 128, 1.0, 255.0, 1280, 127.0, 327.0, 20, -525.0, -1.0, 128, -263.0, -1.0, 1280, 381.0, 381.0, 20,
1, 65.0, 12609.0, 32768, 1.0, 12538.0, 262144, 127.0, 12671.0, 32768, -525.0, -1.0, 1024, -13105.0, 12538.0, 262144, 12671.0, 13182.0, 32768,
2, 65.0, 13121.0, 65536, 1.0, 13042.0, 262144, 127.0, 13183.0, 65536, -525.0, -1.0, 2048, -13105.0, 13042.0, 262144, 13183.0, 14206.0, 65536,
3, 65.0, 10057.0, 32768, 57.0, 9922.0, 16384, 127.0, 10175.0, 262144, -525.0, -1.0, 1024, -1835.0, -1.0, 16384, 5215.0, 12223.0, 262207,
4, 65.0, 10065.0, 65536, 49.0, 9922.0, 32768, 127.0, 10175.0, 262144, -525.0, -1.0, 2048, -3408.0, -1.0, 32768, 5215.0, 12223.0, 262207,
5, 65.0, 10081.0, 131072, 33.0, 9922.0, 65536, 127.0, 10175.0, 262144, -525.0, -1.0, 4096, -6815.0, -1.0, 65536, 5215.0, 12223.0, 262207,
6, 65.0, 4413.0, 262144, 1.0, 2302.0, 5120, 127.0, 4451.0, 163840, -26146.0, 4405.0, 262144, -525.0, -1.0, 5120, 3613.0, 4987.0, 163903,
7, 65.0, 4369.0, 81920, 45.0, 2302.0, 2560, 127.0, 4475.0, 262144, -4194.0, -1.0, 40960, -263.0, -1.0, 2560, 2365.0, 6523.0, 262207,
8, 65.0, 4389.0, 163840, 25.0, 2302.0, 5120, 127.0, 4475.0, 262144, -8388.0, -1.0, 81920, -525.0, -1.0, 5120, 2365.0, 6523.0, 262207,
9, 65.0, 8889.0, 524288, 1.0, 6778.0, 16384, 127.0, 8951.0, 524288, -26146.0, 8877.0, 524288, -1835.0, -1.0, 16384, 2365.0, 10999.0, 524351,
