LayerID, Avg IFMAP SRAM BW, Avg FILTER SRAM BW, Avg OFMAP SRAM BW, Avg IFMAP DRAM BW, Avg FILTER DRAM BW, Avg OFMAP DRAM BW,
0, 0.3359580052493438, 3.3595800524934383, 0.05249343832020997, 0.2438095238095238, 4.866920152091255, 20.0,
1, 2.5860626627732617, 20.688501302186094, 2.5860626627732617, 1.9504761904761905, 10.22243019809702, 64.0,
2, 4.9712508533717665, 19.885003413487066, 4.9712508533717665, 3.900952380952381, 10.025393911580236, 64.0,
3, 3.2204422604422605, 1.6102211302211302, 25.763538083538084, 1.9504761904761905, 8.928610354223434, 37.410044228848626,
4, 6.440884520884521, 3.2204422604422605, 25.763538083538084, 3.900952380952381, 9.615023474178404, 37.410044228848626,
5, 12.881769041769042, 6.440884520884521, 25.763538083538084, 7.801904761904762, 9.616434336023477, 37.410044228848626,
6, 58.579664804469274, 1.1441340782122904, 36.61229050279329, 8.58025661167845, 9.752380952380953, 119.20218181818181,
7, 18.306145251396647, 0.5720670391061452, 58.579664804469274, 9.766332856461611, 9.73384030418251, 63.04568405866795,
8, 36.61229050279329, 1.1441340782122904, 58.579664804469274, 9.766332856461611, 9.752380952380953, 63.04568405866795,
9, 58.57312032175176, 1.8304100100547425, 58.57312032175176, 14.969392416628597, 8.928610354223434, 60.72391430225825,
