Layer,M,N,K,dtype,batch,repeat,per_mac_flops,total_real_macs,source_op
gemm_0001,2048,128,20,real_real,1,1,2,5242880,root
gemm_0002,16,2048,128,complex_real,1,1,4,8388608,root
gemm_0003,128,2048,32,complex_complex,1,1,8,33554432,root
gemm_0004,2048,40,128,real_real,1,1,2,10485760,root
gemm_0005,2048,128,40,real_real,1,1,2,10485760,root
gemm_0006,16,2048,128,complex_real,1,1,4,8388608,root
gemm_0007,128,2048,32,complex_complex,1,1,8,33554432,root
gemm_0008,2048,40,128,real_real,1,1,2,10485760,root
gemm_0009,2048,128,40,real_real,1,1,2,10485760,root
gemm_0010,16,2048,128,complex_real,1,1,4,8388608,root
gemm_0011,128,2048,32,complex_complex,1,1,8,33554432,root
gemm_0012,2048,40,128,real_real,1,1,2,10485760,root
gemm_0013,2048,128,40,real_real,1,1,2,10485760,root
gemm_0014,16,2048,128,complex_real,1,1,4,8388608,root
gemm_0015,128,2048,32,complex_complex,1,1,8,33554432,root
gemm_0016,2048,40,128,real_real,1,1,2,10485760,root
gemm_0017,2048,128,40,real_real,1,1,2,10485760,root
gemm_0018,16,2048,128,complex_real,1,1,4,8388608,root
gemm_0019,128,2048,32,complex_complex,1,1,8,33554432,root
gemm_0020,2048,40,128,real_real,1,1,2,10485760,root
gemm_0021,2048,128,40,real_real,1,1,2,10485760,root
gemm_0022,16,2048,128,complex_real,1,1,4,8388608,root
gemm_0023,128,2048,32,complex_complex,1,1,8,33554432,root
gemm_0024,2048,40,128,real_real,1,1,2,10485760,root
gemm_0025,2048,128,40,real_real,1,1,2,10485760,root
gemm_0026,16,2048,128,complex_real,1,1,4,8388608,root
gemm_0027,128,2048,32,complex_complex,1,1,8,33554432,root
gemm_0028,2048,40,128,real_real,1,1,2,10485760,root
gemm_0029,2048,128,40,real_real,1,1,2,10485760,root
gemm_0030,16,2048,128,complex_real,1,1,4,8388608,root
gemm_0031,128,2048,32,complex_complex,1,1,8,33554432,root
gemm_0032,2048,40,128,real_real,1,1,2,10485760,root
gemm_0033,2048,128,40,real_real,1,1,2,10485760,root
gemm_0034,1,10,128,real_real,1,1,2,1280,root
