LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 17.0, 361.0, 128, 1.0, 345.0, 1280, 31.0, 369.0, 80, -525.0, -1.0, 128, -263.0, -1.0, 1280, 375.0, 379.0, 80,
1, 17.0, 55281.0, 131072, 1.0, 55258.0, 262144, 31.0, 55295.0, 131072, -525.0, -1.0, 1024, -13105.0, 55256.0, 262144, 55295.0, 63486.0, 131072,
2, 17.0, 63473.0, 262144, 1.0, 63442.0, 262144, 31.0, 63487.0, 262144, -525.0, -1.0, 2048, -13105.0, 63440.0, 262144, 31775.0, 71679.0, 262159,
3, 17.0, 22249.0, 131072, 9.0, 22114.0, 16384, 31.0, 22271.0, 262144, -525.0, -1.0, 1024, -1835.0, -1.0, 16384, 11167.0, 30463.0, 262159,
4, 17.0, 22257.0, 262144, 1.0, 22114.0, 32768, 31.0, 22271.0, 262144, -525.0, -1.0, 2048, -3408.0, -1.0, 32768, 11167.0, 30463.0, 262159,
5, 17.0, 44529.0, 524288, 1.0, 44386.0, 65536, 31.0, 44543.0, 524288, -525.0, -1.0, 4096, -6815.0, -1.0, 65536, 11167.0, 52735.0, 524303,
6, 17.0, 50241.0, 786432, 1.0, 48178.0, 5120, 31.0, 50247.0, 655360, -26194.0, 50226.0, 786432, -525.0, -1.0, 5120, 8407.0, 58447.0, 655375,
7, 17.0, 33477.0, 327680, 1.0, 31426.0, 2560, 31.0, 33503.0, 524288, -4194.0, -1.0, 40960, -263.0, -1.0, 2560, 8407.0, 41695.0, 524303,
8, 17.0, 50233.0, 655360, 1.0, 48178.0, 5120, 31.0, 50255.0, 786432, -8388.0, -1.0, 81920, -525.0, -1.0, 5120, 8407.0, 58447.0, 786447,
9, 17.0, 134001.0, 2097152, 1.0, 131938.0, 16384, 31.0, 134015.0, 2097152, -26194.0, 133972.0, 2097152, -1835.0, -1.0, 16384, 8407.0, 142207.0, 2097167,
